word,count
His,31
easy,31
Presidential,31
badly,31
historic,31
Committee,31
Florence,31
YOU,31
With,31
biggest,31
talking,31
part,31
says,31
members,30
across,30
days,30
lowest,30
Watch,30
gave,30
friend,30
happened,30
order,30
Steele,30
FAKE,30
service,30
ratings,30
actually,30
lost,30
local,30
Intelligence,30
Second,30
success,30
rate,30
Cuts,30
agree,30
fix,30
tax,30
Lisa,30
enough,29
paying,29
safe,29
ICE,29
wanted,29
voting,29
ask,29
Look,29
side,29
Syria,29
victory,29
months,29
Looking,29
morning,29
n't,29
Scott,29
NEWS,29
Radical,29
results,29
corruption,28
committed,28
Georgia,28
@DonaldJTrumpJr,28
crimes,28
number,28
seeing,28
millions,28
Summit,28
testimony,28
criminal,28
quickly,28
sources,28
Ohr,28
guy,28
perhaps,28
politics,28
whole,28
"
 
",28
Kavanaugh,28
voted,28
based,28
happening,28
ridiculous,28
fully,28
stronger,28
Left,28
tell,28
former,28
knew,27
dishonest,27
Israel,27
stated,27
citizens,27
children,27
Crazy,27
leaders,27
smart,27
Troy,27
decision,27
outstanding,27
COLLUSION,27
spending,27
horrible,27
reporting,27
WALL,27
worst,27
At,27
fire,27
asked,27
drugs,27
Attorney,27
Government,27
less,27
hope,27
Remember,27
fair,27
Please,26
though,26
JOBS,26
Hurricane,26
continues,26
West,26
attack,26
NEVER,26
found,26
Venezuela,26
forced,26
Market,26
hours,26
agenda,26
brave,26
times,26
point,26
GDP,26
Let,26
safety,26
Enjoy,26
despite,26
welcome,26
drug,26
leaving,26
Director,26
reported,26
respect,26
Never,26
Mark,26
European,26
2018,26
NOTHING,26
lot,25
Japan,25
words,25
Wisconsin,25
issue,25
Tuesday,25
NOW,25
giving,25
strongly,25
thousands,25
came,25
absolutely,25
Federal,25
18,25
Post,25
signed,25
understand,25
act,25
friends,25
old,25
War,25
happy,25
spent,25
statement,25
Vietnam,25
OF,25
4,25
allow,25
different,24
Robert,24
powerful,24
Mainstream,24
More,24
knows,24
Brennan,24
Deals,24
meet,24
tried,24
@POTUS,24
Michigan,24
disaster,24
ALL,24
conflicted,24
disgrace,24
https://t.co/0pWiwCHGbh,24
fast,24
immediately,24
comes,24
via,24
Special,24
once,24
Time,24
written,24
entire,24
Good,24
lie,24
Puerto,24
nice,24
Rico,24
treated,24
legal,24
move,24
playing,23
game,23
meetings,23
rather,23
able,23
past,23
’ll,23
crowd,23
Minnesota,23
Putin,23
building,23
One,23
sign,23
chance,23
Counsel,23
term,23
FISA,23
closely,23
Russians,23
High,23
spoke,23
pass,23
enforcement,22
Oval,22
wife,22
@seanhannity,22
Chief,22
early,22
policy,22
necessary,22
lies,22
set,22
J.,22
except,22
Sessions,22
beginning,22
action,22
higher,22
Nuclear,22
leave,22
Heading,22
etc,22
thinking,22
Germany,22
own,22
fought,22
Europe,22
remember,22
France,22
stay,22
Bruce,22
greatly,21
lead,21
means,21
Because,21
abuse,21
17,21
agreed,21
Arizona,21
intelligence,21
FOR,21
East,21
outside,21
hear,21
Barr,21
peace,21
try,21
advantage,21
evening,21
concerning,21
remains,21
probably,21
control,21
process,21
@RealDonaldTrump,21
US,21
Indiana,21
elected,21
progress,21
save,21
Illegal,21
Turkey,21
special,21
easily,21
winning,21
crisis,21
‘,21
fine,21
Christopher,21
destroy,21
rally,21
THANK,21
released,21
USMCA,21
@IvankaTrump,21
caught,21
David,21
discredited,21
Xi,20
Don,20
Drugs,20
Be,20
went,20
sure,20
scandal,20
WILL,20
charge,20
helping,20
Enemy,20
5,20
Taxes,20
needs,20
While,20
shortly,20
Even,20
Brett,20
legislation,20
25,20
amazing,20
Crisis,20
moving,20
Stock,20
deals,20
Mr.,20
Can,20
press,20
billions,20
Agent,20
failed,20
live,19
talented,19
sad,19
Rally,19
M,19
anti,19
extraordinary,19
lower,19
Nadler,19
energy,19
Emails,19
met,19
received,19
Twitter,19
Economic,19
hurricane,19
Missouri,19
involved,19
Kevin,19
known,19
event,19
lying,19
shows,19
discussed,19
growth,19
court,19
pleased,19
cover,19
waiting,19
created,19
send,19
TO,19
asking,19
Make,19
credit,19
documents,19
race,19
Ron,19
fraud,19
instead,18
Again,18
someone,18
killed,18
Judicial,18
private,18
African,18
gets,18
Unemployment,18
near,18
serve,18
Alabama,18
Jim,18
@MariaBartiromo,18
candidate,18
storm,18
brought,18
prayers,18
MAGARally,18
MS-13,18
speech,18
losing,18
war,18
City,18
Lady,18
public,18
themselves,18
few,18
Approval,18
becoming,18
AND,18
celebrate,18
products,18
Veterans,18
bigger,18
2019,18
Bush,18
within,18
false,18
situation,18
Dan,18
later,17
aliens,17
certain,17
kind,17
month,17
targeting,17
Thanks,17
Middle,17
Dem,17
either,17
interview,17
Emergency,17
each,17
positive,17
killing,17
Despite,17
non,17
nation,17
talks,17
8,17
rest,17
course,17
Failing,17
line,17
NBC,17
Schiff,17
See,17
release,17
lover,17
wanting,17
Drug,17
goes,17
visit,17
plus,17
heading,17
reached,17
Bless,17
WIN,17
expensive,17
Primary,17
Poll,17
Criminal,17
w/,17
heard,16
second,16
Where,16
IS,16
Staff,16
forget,16
party,16
Brian,16
Since,16
Fed,16
productive,16
market,16
sent,16
Bernie,16
coverage,16
Paris,16
beat,16
Nations,16
standing,16
voters,16
policies,16
politicians,16
starting,16
Jerry,16
young,16
Matt,16
desperately,16
Likewise,16
whose,16
leader,16
PEOPLE,16
interest,16
Too,16
IN,16
charges,16
deserve,16
additional,16
Responders,16
Go,16
bringing,16
Full,16
indeed,16
approved,16
everybody,16
Saudi,16
using,16
read,16
watching,16
financial,16
recent,16
records,16
t,16
Paul,16
@VP,16
led,16
Congressional,15
Such,15
union,15
Lou,15
correct,15
Should,15
wrote,15
showed,15
maybe,15
defend,15
demand,15
Their,15
unprecedented,15
July,15
Mayor,15
hurt,15
Act,15
turn,15
Montana,15
Human,15
Former,15
CIA,15
@TuckerCarlson,15
approval,15
flooding,15
foreign,15
looks,15
conference,15
30,15
period,15
product,15
Was,15
NAFTA,15
plan,15
play,15
presidential,15
Walls,15
WE,15
police,15
Really,15
Much,15
immigrants,15
operation,15
McCarthy,15
Saturday,15
setting,15
keeping,15
MAKING,15
join,15
Laws,15
Chris,15
GOP,15
Rick,15
negotiations,15
.......,15
investigating,15
@EricTrump,15
administration,15
_,15
interesting,15
Richard,15
..,15
Life,15
Only,15
Caravans,15
officials,15
often,15
Adam,15
expected,15
*,15
write,15
list,14
communities,14
greater,14
credibility,14
Barriers,14
BAD,14
anymore,14
father,14
anyway,14
favorite,14
firing,14
helped,14
Henry,14
Beautiful,14
gang,14
Best,14
10,14
group,14
Must,14
bill,14
faith,14
importantly,14
exciting,14
El,14
increase,14
broken,14
announce,14
amounts,14
effort,14
buy,14
doubt,14
difference,14
leading,14
death,14
date,14
damage,14
free,14
Singapore,14
@fema,14
truth,14
protecting,14
lose,14
putting,14
soooo,14
Patrick,14
Steve,14
@LindseyGrahamSC,14
HEROES,14
Senators,14
@Jim_Jordan,14
meantime,14
MUST,14
member,14
small,14
negotiate,14
9:00,14
responsible,14
mess,14
returned,14
Fusion,14
@nytimes,14
showing,14
Hispanic,14
Over,14
@BreitbartNews,14
secure,14
Server,14
VERY,14
TRUMP,14
poor,14
Women,14
plans,14
position,14
pouring,14
prepared,14
address,14
May,14
20,14
statements,14
points,14
passed,14
pages,14
result,13
exist,13
please,13
Red,13
Massive,13
EVER,13
Those,13
hostages,13
R,13
Barrier,13
head,13
honored,13
held,13
Choice,13
payments,13
Chinese,13
existing,13
break,13
G,13
Pence,13
Journal,13
justice,13
myself,13
Waters,13
problems,13
District,13
facts,13
became,13
vicious,13
funding,13
prison,13
opposite,13
Read,13
inaccurate,13
August,13
previous,13
oil,13
15,13
Iowa,13
forever,13
question,13
Democratic,13
re,13
beyond,13
recovery,13
nuclear,13
Tremendous,13
fake,13
anywhere,13
fairly,13
games,13
Argentina,13
loopholes,13
himself,13
ahead,13
40,13
claims,13
Humanitarian,13
Street,13
died,13
least,13
troops,13
step,13
mean,13
makes,13
afternoon,13
Everyone,13
word,13
Acting,13
6,13
Some,13
confidence,13
turned,13
Danny,13
changed,13
serving,13
spy,13
choice,13
criminals,13
DeSantis,13
disgraced,13
500,13
letter,13
--,13
fortune,12
added,12
form,12
purposely,12
agreement,12
Under,12
@charliekirk11,12
focus,12
officers,12
Consumer,12
Burr,12
McGahn,12
currently,12
protection,12
obviously,12
questions,12
supporters,12
raise,12
rates,12
Press,12
Force,12
final,12
works,12
proudly,12
Mitch,12
clear,12
pressure,12
hits,12
Harassment,12
Most,12
Sleepy,12
Cup,12
stuff,12
hopefully,12
heart,12
Sorry,12
Actually,12
+,12
three,12
pre,12
........,12
Without,12
answer,12
wait,12
Loves,12
@RepMarkMeadows,12
price,12
Rep.,12
Rating,12
stands,12
closed,12
Pittsburgh,12
illegals,12
Facebook,12
opening,12
testify,12
Haters,12
fighter,12
represented,12
rid,12
deserves,12
IG,12
booming,12
earlier,12
representatives,12
JW,12
Kelly,12
Caravan,12
A.G.,12
lawyers,12
return,12
scale,12
late,12
nearly,12
June,12
destroyed,12
saw,12
accomplished,12
efforts,12
endorse,12
@GOP,12
Andy,12
career,12
Arabia,12
FEMA,12
cases,12
nobody,12
Fox,12
Foundation,12
remain,12
among,12
mistake,12
GPS,12
Join,12
Clapper,12
Complete,12
Green,12
16,12
Highly,12
face,12
Nevada,12
bias,12
Honduras,12
WITCH,11
car,11
Martha,11
arrived,11
@SecPompeo,11
Marine,11
Real,11
serious,11
Spy,11
️,11
gotten,11
seems,11
Kentucky,11
tariffs,11
commitment,11
heroes,11
History,11
@DanScavino,11
hatred,11
scam,11
➡,11
Harley,11
Cryin,11
headed,11
personal,11
|,11
Ted,11
subject,11
thanks,11
feel,11
emergency,11
exactly,11
Balderson,11
Guard,11
spend,11
deleted,11
93,11
Disaster,11
Together,11
Tom,11
speak,11
pushing,11
90,11
wins,11
behalf,11
behind,11
Trafficking,11
Conference,11
Two,11
recently,11
Phony,11
freedom,11
clean,11
whether,11
response,11
Then,11
sick,11
endorsement,11
7,11
barriers,11
Center,11
primary,11
prior,11
broke,11
figure,11
probe,11
covered,11
gain,11
From,11
crazy,11
further,11
properly,11
funny,11
Corrupt,11
wish,11
Job,11
Right,11
AG,11
A.M.,11
BREAKING,11
Energy,11
Maxine,11
thoughts,11
Midterms,11
HUNT,11
Anti,11
joining,11
absolute,11
itself,11
issues,11
hundreds,11
investigations,11
Monday,11
investigated,11
usual,11
